indice,nome,url_produto,url_imagem,arquivo_imagem
1,Caixa Plástica Fechada com Tampa 7 Litros - LAR Plásticos,https://www.larplasticos.com.br/produtos/Caixas-plasticas/caixa-plastica-fechada-com-tampa-lar-7L,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2018/02/Caixa-Plastica-Fechada-Preta-7L-Com-Tampa-Larplasticos.jpg?fit=480%2C480&ssl=1,imagens\Caixa-Plastica-Fechada-Preta-7L-Com-Tampa-Larplasticos.jpg
2,Caixa Plástica Fechada Sem Tampa 61 Litros - LAR Plásticos,https://www.larplasticos.com.br/produtos/Caixas-plasticas/caixa-plastica-fechada-sem-tampa-lar-61L,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2018/01/CAIXA-ORGANIZADORA-61L-2.png?fit=1000%2C1000&ssl=1,imagens\CAIXA-ORGANIZADORA-61L-2.png
3,Lixeira Com Pedal 100 Litros Lar Plásticos - Resistência e Durabilidade,https://www.larplasticos.com.br/produtos/Lixeiras-com-pedal/lixeiras-com-pedal-100L,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/07/Lixeira-com-pedal-100L.jpg?fit=480%2C480&ssl=1,imagens\Lixeira-com-pedal-100L.jpg
4,Lixeira Com Pedal 15 Litros Lar Plásticos - Mais resistência e qualidade,https://www.larplasticos.com.br/produtos/Lixeiras-com-pedal/lixeiras-com-pedal-15L,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/LP-15-LITROS-BR.png?fit=1000%2C1000&ssl=1,imagens\LP-15-LITROS-BR.png
5,Lixeira Com Pedal 25 Litros Lar Plásticos - Qualidade e Resitência,https://www.larplasticos.com.br/produtos/Lixeiras-com-pedal/lixeiras-com-pedal-25L,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/LP-25-LITROS-BR.png?fit=1000%2C1000&ssl=1,imagens\LP-25-LITROS-BR.png
6,Lixeira Com Pedal 50 Litros Lar Plásticas - Resistentes e Duráveis,https://www.larplasticos.com.br/produtos/Lixeiras-com-pedal/lixeiras-com-pedal-50L,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/LP-50-LITROS-BR.png?fit=1000%2C1000&ssl=1,imagens\LP-50-LITROS-BR.png
7,Lixeira Com Pedal e Rodas 100 Litros da Lar Plásticos,https://www.larplasticos.com.br/produtos/Lixeiras-com-pedal/lixeiras-com-pedal-e-rodas-100-Litros,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2019/07/Lixeira-com-pedal-e-rodas-100-Litros.jpg?fit=480%2C480&ssl=1,imagens\Lixeira-com-pedal-e-rodas-100-Litros.jpg
8,Bituqueira Plástica - LAR Plásticos – Qualidade que Transforma,https://www.larplasticos.com.br/produtos/bituqueira/bituqueira-plastica/,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2021/01/bituqueira-de-plastico.jpeg?fit=1000%2C1000&ssl=1,imagens\bituqueira-de-plastico.jpeg
9,LAR Plásticos – Qualidade que Transforma,https://www.larplasticos.com.br/produtos/caixas-plasticas/cadeira-de-plastico,https://www.larplasticos.com.br/wp-content/plugins/revslider/public/assets/assets/dummy.png,imagens\dummy.png
10,Caixa Container 372 Litros - LAR Plásticos – Qualidade que Transforma,https://www.larplasticos.com.br/produtos/caixas-plasticas/caixa-container-372l/,"data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMSIgaGVpZ2h0PSIxIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjwvc3ZnPg==",
